# rightAscensionRad sineDeclination polarizationAngleRad cosineInclination distanceMpc phaseRad
0.3660534412052311 0.4133033917102376 2.427120057224289 0.0502494819813315 1.000000000000003e-06 0.706590333186199
4.048577511439508 0.4123877183520142 1.11000089529974 0.002767551580597296 1.000000000000003e-06 5.416145520963028
5.832967520542594 0.474519509257482 2.841825124647463 -0.0368070195746264 1.000000000000003e-06 2.085109193024872
1.940208379846294 -0.1539311557372602 2.338195832636775 0.05253130841925318 1.000000000000003e-06 2.006578613909989
2.127071494218886 -0.2899415842051509 0.6549064429708055 0.08142674252728556 1.000000000000003e-06 0.2202328190684444
2.131978948391829 -0.2935977391482303 2.226573733332905 0.07619899108632133 1.000000000000003e-06 3.382301637872987
2.143564311737271 -0.2937787280833569 2.191586811946922 0.08656903596717017 1.000000000000003e-06 3.39504109969355
1.929979734892544 -0.1238363220222364 0.7859833898476946 0.08910973964717804 1.000000000000003e-06 5.179109352672053
0.7309967661245094 -0.87004723555798 0.8960102142676064 -0.09793951940946011 1.000000000000003e-06 1.979502056444681
1.93807464018052 -0.1274096593344695 0.7861258570766505 0.08992423853080984 1.000000000000003e-06 5.164814408321217
1.466449486821237 0.3674219316914963 0.7514566238462308 0.05468339869813776 1.000000000000003e-06 5.534037488552846
2.795825561046511 -0.9023739345054038 0.4923147664313923 -0.05312844619907867 1.000000000000003e-06 5.067040430981369
0.7611453953007967 -0.4292617481376009 2.057671027139705 -0.06397331738409762 1.000000000000003e-06 5.359777785395685
0.9797987327545388 -0.9581476093770784 0.7782351233959597 -0.08193857360743825 1.000000000000003e-06 1.976515689373631
0.9721061357827291 -0.9578339588094507 0.7820315543734704 -0.07603116034815756 1.000000000000003e-06 1.960546400780771
0.9654608052847505 -0.9577031723816029 0.7819220592613586 -0.07812273824812477 1.000000000000003e-06 1.947810843642054
0.9685204065827651 -0.9575601040195111 0.7720372042404471 -0.07940217501794948 1.000000000000003e-06 1.915737534419042
0.7631068516400723 -0.4277270414003121 2.055110140793205 -0.07665801501762121 1.000000000000003e-06 5.289423677814262
0.9549199525014589 -0.9556051076453611 2.360234025054352 -0.07989860682240339 1.000000000000003e-06 5.015213516222626
2.105703650510963 -0.9807424314053491 2.804463148800433 -0.06457309503861577 1.000000000000003e-06 1.896517377885431
0.8870038149413629 -0.1402694231672505 0.4549027530412586 -0.0600035471648521 1.000000000000003e-06 2.111836492951987
0.8611805631386107 -0.195015659611385 2.027092944504506 -0.05957306815381307 1.000000000000003e-06 5.240253515620939
1.050413841642046 -0.9644370530391407 2.270818445487873 -0.07648922658525893 1.000000000000003e-06 5.003368489683075
1.040500201435205 -0.9641662405383975 2.277405883799705 -0.0768486655585371 1.000000000000003e-06 5.003514152283771
