totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
825540.5649077301 -11649.03576016365 -11571.16923902594 424776.9932917256 423983.7766151941 648.0879403742969 0 0 648.0879403742969 -6.206778379787981 654.2947187540849
825678.5042066481 -11563.80265839123 -11518.46304188029 424776.9932917256 423983.7766151941 641.8510503046175 0 0 641.8510503046175 -6.206778379787981 648.0578286844055
825685.3198442243 -11560.13316173528 -11515.31690096008 424776.9932917256 423983.7766151941 640.5356163127972 0 0 640.5356163127972 -6.206778379787981 646.7423946925852
825691.1791663006 -11556.0356771433 -11513.55506347579 424776.9932917256 423983.7766151941 642.3445128176818 0 0 642.3445128176818 -6.206778379787981 648.5512911974698
825693.7265769873 -11554.8144275469 -11512.22890238547 424776.9932917256 423983.7766151941 641.4548038289728 0 0 641.4548038289728 -6.206778379787981 647.6615822087608
825715.2065813425 -11543.44581598049 -11502.11750959675 424776.9932917256 423983.7766151941 641.3708190372462 0 0 641.3708190372462 -6.206778379787981 647.5775974170342
825732.5802623061 -11536.29387018455 -11491.89577442898 424776.9932917256 423983.7766151941 641.2120295471673 0 0 641.2120295471673 -6.206778379787981 647.4188079269553
825768.4295048988 -11518.34567768986 -11473.99472433101 424776.9932917256 423983.7766151941 640.9984273374253 0 0 640.9984273374253 -6.206778379787981 647.2052057172133
825779.1100908744 -11512.74796326821 -11468.9118527771 424776.9932917256 423983.7766151941 641.7490341901506 0 0 641.7490341901506 -6.206778379787981 647.9558125699386
825789.1445267689 -11510.41359080026 -11461.21178935042 424776.9932917256 423983.7766151941 643.1311602316599 0 0 643.1311602316599 -6.206778379787981 649.337938611448
825800.5893822091 -11502.62088514462 -11457.55963956594 424776.9932917256 423983.7766151941 643.3416251564184 0 0 643.3416251564184 -6.206778379787981 649.5484035362065
825810.8213464413 -11498.90165733886 -11451.04690313961 424776.9932917256 423983.7766151941 641.5783528730684 0 0 641.5783528730684 -6.206778379787981 647.7851312528564
825822.5852730487 -11486.49298294025 -11451.69165093069 424776.9932917256 423983.7766151941 643.048884309853 0 0 643.048884309853 -6.206778379787981 649.255662689641
825834.1405694038 -11480.54631754497 -11446.08301997094 424776.9932917256 423983.7766151941 642.2372242333536 0 0 642.2372242333536 -6.206778379787981 648.4440026131416
825849.3062208458 -11469.98799553447 -11441.47569053938 424776.9932917256 423983.7766151941 642.3219710569298 0 0 642.3219710569298 -6.206778379787981 648.5287494367178
825855.2984500362 -11464.67693919725 -11440.79451768627 424776.9932917256 423983.7766151941 642.6245841952623 0 0 642.6245841952623 -6.206778379787981 648.8313625750503
825870.529920798 -11463.07408294761 -11427.16590317403 424776.9932917256 423983.7766151941 642.5780505788584 0 0 642.5780505788584 -6.206778379787981 648.7848289586465
825879.3965672788 -11460.27259408361 -11421.10074555735 424776.9932917256 423983.7766151941 641.8627781822046 0 0 641.8627781822046 -6.206778379787981 648.0695565619926
825889.1558203045 -11455.32421787358 -11416.28986874156 424776.9932917256 423983.7766151941 641.867219031472 0 0 641.867219031472 -6.206778379787981 648.0739974112601
825895.5206248185 -11451.17076716063 -11414.07851494062 424776.9932917256 423983.7766151941 642.5558649540533 0 0 642.5558649540533 -6.206778379787981 648.7626433338413
825910.3146463344 -11443.78291854798 -11406.67234203736 424776.9932917256 423983.7766151941 641.7284273364871 0 0 641.7284273364871 -6.206778379787981 647.9352057162752
