# Frequency (Hz), ASD (strain/sqrt(Hz))
9.800000000000000000e+01,6.124886871523076061e-24
9.825000000000000000e+01,5.691935011960382090e-24
9.850000000000000000e+01,6.145113974520948813e-24
9.875000000000000000e+01,3.079297300735657796e-24
9.900000000000000000e+01,1.758420933442063899e-23
9.925000000000000000e+01,1.889408244784137225e-23
9.950000000000000000e+01,1.993707638701134312e-23
9.975000000000000000e+01,7.437210853141371612e-24
1.000000000000000000e+02,1.570706177356241453e-23
1.002500000000000000e+02,1.063523336138954238e-23
1.005000000000000000e+02,9.385804668071383313e-24
1.007500000000000000e+02,9.397216476475795097e-24
1.010000000000000000e+02,6.117297861494941842e-24
1.012500000000000000e+02,4.977532977172670852e-24
1.015000000000000000e+02,8.340632652352421873e-24
1.017500000000000000e+02,1.750675289811181072e-23
1.020000000000000000e+02,1.160347761553634740e-23
1.022500000000000000e+02,8.490122811343282606e-24
1.025000000000000000e+02,1.142097152949910877e-23
1.027500000000000000e+02,1.271853443950124038e-23
1.030000000000000000e+02,1.177170527663585815e-23
1.032500000000000000e+02,1.050140826945774999e-23
1.035000000000000000e+02,2.166236482404866382e-23
1.037500000000000000e+02,1.684320598160810297e-23
1.040000000000000000e+02,1.428624142957879213e-23
1.042500000000000000e+02,1.934996282106346049e-23
1.045000000000000000e+02,1.962042168510870470e-23
1.047500000000000000e+02,2.700124334220558595e-23
1.050000000000000000e+02,2.472034741752914176e-23
1.052500000000000000e+02,2.185837120634522451e-23
1.055000000000000000e+02,1.516664788606029793e-23
1.057500000000000000e+02,1.133083040928251614e-23
1.060000000000000000e+02,1.424704237737844659e-23
1.062500000000000000e+02,1.015171927440962589e-23
1.065000000000000000e+02,1.267345689969232222e-23
1.067500000000000000e+02,6.494875199323119240e-24
1.070000000000000000e+02,4.558372973111051538e-24
1.072500000000000000e+02,1.425869957253762637e-23
1.075000000000000000e+02,1.713222943647047507e-23
1.077500000000000000e+02,1.984512913641671419e-23
1.080000000000000000e+02,1.574731313995552927e-23
1.082500000000000000e+02,8.430841352264606974e-24
1.085000000000000000e+02,1.561979084570465464e-23
1.087500000000000000e+02,6.109449328363898007e-24
1.090000000000000000e+02,2.539977390749838693e-24
1.092500000000000000e+02,7.468924830648940659e-24
1.095000000000000000e+02,1.037899558820371036e-23
1.097500000000000000e+02,1.177329094684365609e-23
1.100000000000000000e+02,1.646879639050642712e-23
1.102500000000000000e+02,9.315781972248435773e-24
1.105000000000000000e+02,5.796831894380874389e-24
1.107500000000000000e+02,8.633781044951080276e-24
1.110000000000000000e+02,1.363908861637922691e-23
1.112500000000000000e+02,1.621728921801113134e-23
1.115000000000000000e+02,9.878789354609425782e-24
1.117500000000000000e+02,6.463476448521733509e-24
1.120000000000000000e+02,1.274430367301908045e-23
1.122500000000000000e+02,2.107000977464929838e-24
1.125000000000000000e+02,1.092404483869621070e-23
1.127500000000000000e+02,7.415817028254737304e-24
1.130000000000000000e+02,8.888582921564706065e-24
1.132500000000000000e+02,7.157179770032474618e-24
1.135000000000000000e+02,4.931309028250802278e-24
1.137500000000000000e+02,4.253145637330591477e-24
1.140000000000000000e+02,7.277548599184596228e-24
1.142500000000000000e+02,4.893001692117592100e-24
1.145000000000000000e+02,1.548088900620206651e-23
1.147500000000000000e+02,1.291022429849985048e-23
1.150000000000000000e+02,7.551010172034228464e-24
1.152500000000000000e+02,1.499376813589360729e-23
1.155000000000000000e+02,7.926809719801134322e-24
1.157500000000000000e+02,1.616136774703351163e-23
1.160000000000000000e+02,1.034736465695331504e-23
1.162500000000000000e+02,6.594482255582837473e-24
1.165000000000000000e+02,1.173912988731877531e-23
1.167500000000000000e+02,6.748320358080347068e-24
1.170000000000000000e+02,4.945212614998380471e-24
1.172500000000000000e+02,1.335402234280722082e-23
1.175000000000000000e+02,1.282532941139128802e-23
1.177500000000000000e+02,7.866940960508927694e-24
1.180000000000000000e+02,1.569664818009675219e-23
1.182500000000000000e+02,1.355030797529010714e-23
1.185000000000000000e+02,1.018679111699482759e-23
1.187500000000000000e+02,1.249015623029682124e-23
1.190000000000000000e+02,7.756128553085968281e-24
1.192500000000000000e+02,6.334761649333307916e-24
1.195000000000000000e+02,1.392804077948738174e-23
1.197500000000000000e+02,2.189121498318092131e-23
1.200000000000000000e+02,1.917073663179245163e-23
1.202500000000000000e+02,1.003051618646373916e-23
1.205000000000000000e+02,3.155044114689055826e-24
1.207500000000000000e+02,1.398369719908817546e-23
1.210000000000000000e+02,1.052016339444128700e-23
1.212500000000000000e+02,6.379728262776715871e-24
1.215000000000000000e+02,8.988570534206270517e-24
1.217500000000000000e+02,7.012220614880834940e-24
1.220000000000000000e+02,1.724422312781251688e-23
1.222500000000000000e+02,1.397823851516476026e-23
1.225000000000000000e+02,1.166931091521649181e-23
1.227500000000000000e+02,1.286217159864670875e-23
1.230000000000000000e+02,1.406158481733675169e-23
1.232500000000000000e+02,1.445348853230682979e-23
1.235000000000000000e+02,8.194182841607082703e-24
1.237500000000000000e+02,7.589463239989113586e-24
1.240000000000000000e+02,6.759344789036108606e-24
1.242500000000000000e+02,6.954793007517690805e-24
1.245000000000000000e+02,1.151856540069648534e-23
1.247500000000000000e+02,1.266732441149711596e-23
1.250000000000000000e+02,3.785178447771218260e-24
1.252500000000000000e+02,2.859157898507538349e-24
1.255000000000000000e+02,8.465624721356835096e-24
1.257500000000000000e+02,6.318146915934242791e-24
1.260000000000000000e+02,3.076380710757273124e-24
1.262500000000000000e+02,7.343016114727937510e-24
1.265000000000000000e+02,1.172303756689619143e-23
1.267500000000000000e+02,1.651798125105086323e-23
1.270000000000000000e+02,1.193165358731479132e-23
1.272500000000000000e+02,4.951333734331968200e-24
1.275000000000000000e+02,5.984977355809471773e-24
1.277500000000000000e+02,4.646917626433896875e-24
1.280000000000000000e+02,4.573740631740168782e-24
1.282500000000000000e+02,4.534343445976416580e-24
1.285000000000000000e+02,5.168075433629324627e-24
1.287500000000000000e+02,4.766789961644488440e-24
1.290000000000000000e+02,5.098637832174649947e-24
1.292500000000000000e+02,7.063132939293485762e-24
1.295000000000000000e+02,1.187574941101696138e-23
1.297500000000000000e+02,1.302586343348975023e-23
1.300000000000000000e+02,1.297055368842650728e-23
1.302500000000000000e+02,1.338883171012961012e-23
1.305000000000000000e+02,3.441751529499758547e-24
1.307500000000000000e+02,6.398759771815730844e-24
1.310000000000000000e+02,1.211079220279843604e-23
1.312500000000000000e+02,1.276513635032278588e-23
1.315000000000000000e+02,8.182589087891335157e-24
1.317500000000000000e+02,7.015448661809859959e-24
1.320000000000000000e+02,8.074393702944933884e-24
1.322500000000000000e+02,5.982581015073472195e-24
1.325000000000000000e+02,3.258825666502345578e-24
1.327500000000000000e+02,2.295697398544862710e-24
1.330000000000000000e+02,7.453793702509965446e-24
1.332500000000000000e+02,2.015743020759308226e-23
1.335000000000000000e+02,2.450343807804741897e-23
1.337500000000000000e+02,1.794516067562221341e-23
1.340000000000000000e+02,1.331380288732210657e-23
1.342500000000000000e+02,1.561844209015930887e-23
1.345000000000000000e+02,1.455481164091652087e-23
1.347500000000000000e+02,3.318985345091730337e-24
1.350000000000000000e+02,3.501331738618852434e-24
1.352500000000000000e+02,1.340968165533035991e-23
