domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (-1.194333847914653,-0.5486195360537117)
20.25 (2.379112409519457,-0.8484029198073005)
20.5 (1.182224004191893,1.08361262528336)
20.75 (-0.8950916793490814,0.3010110200485721)
21 (1.322776531479048,0.2740879241770917)
21.25 (-0.9574631397053075,0.5007871882893061)
21.5 (-1.643868179395584,-0.8276932084223014)
21.75 (-1.325427759971827,1.282860153226514)
22 (-0.93298660181006,-2.018097793319465)
22.25 (0.6040198259269407,-2.591617076171788)
22.5 (1.197413756957786,-0.8064890775458032)
22.75 (-0.408053493888687,-0.3626471591756575)
23 (1.256944633246853,-0.3893726900243826)
23.25 (-0.3291556014582979,0.4797620302188)
23.5 (0.619418683057456,-0.7906229321658742)
23.75 (1.558392040191549,2.615121714204117)
24 (-1.013721472413549,0.6861618039412833)
24.25 (0.7750486638667391,-0.3391047462510938)
24.5 (-0.935255185190747,-0.7084897444468609)
24.75 (3.617178553150537,-1.24957859622746)
25 (-0.8615266553281282,1.987877507019954)
25.25 (-1.672208136825726,0.2786022202838516)
25.5 (0.6686892796621462,-0.4713797636853412)
25.75 (-0.6882950879301437,-0.6678967222228133)
26 (0.2591179595471468,0.8128788767160269)
26.25 (-0.3300910660351692,-0.8488722598389815)
26.5 (-0.2375886841471537,0.7897651435277637)
26.75 (-0.7343711526813248,-1.918098514249249)
27 (0.56139387015422,-0.1029127649433356)
27.25 (-0.4046340160780674,0.09550546163797291)
27.5 (0.6975256334172341,-1.130112002182843)
27.75 (0.717547815185927,0.8776481717537307)
28 (-0.8588258688206772,-0.2112325283210115)
28.25 (1.120671406740847,-1.366379137175863)
28.5 (1.124930591073647,-0.2330746494331868)
28.75 (0.06599214498324089,-0.9385008110685443)
29 (-0.4687100615676201,1.035007384705062)
29.25 (0.3028856552285907,-1.085204225571132)
29.5 (0.2214093416513973,0.03903469490660864)
29.75 (2.02881989898497,0.62796180413354)
30 (1.670001430202243,-0.8539478553234583)
30.25 (0.6206443714972331,1.314795610911522)
30.5 (0.3543657603619084,1.553596930898127)
30.75 (-1.192813225962003,0.01631620652924532)
31 (0.6599748562785996,-0.05357403126987505)
31.25 (0.06915094897346616,1.607001664753118)
31.5 (-0.8562729959767625,-0.05299716418679237)
31.75 (0.7462231024130087,0.05864410079773093)
32 (-0.9094823445334679,-0.5233393212747101)
32.25 (0.3788538360557831,0.6533563504705754)
32.5 (-1.263861703097338,-0.3253878144204282)
32.75 (0.5556127355113664,-0.7457265033478577)
33 (0.2021552349230531,-1.16979385311638)
33.25 (1.892770099995102,0.982654348306115)
33.5 (0.7986776291355819,0.9630117735507046)
33.75 (-0.9661287061670943,-0.878248966915947)
34 (0.2804748607516623,0.2217267283298929)
34.25 (0.7950337656773979,-0.7163622655219184)
34.5 (-1.244786979056635,0.03015624223197723)
34.75 (3.575960169586636,2.4588230070713)
35 (-1.76206998416055,-0.8708340086276042)
35.25 (0.4298922800659465,0.8803096463311925)
35.5 (-0.8992159055507546,-0.8302983892074918)
35.75 (-1.466590709741998,-0.05287297549841718)
36 (0.385209626155786,-1.127914127172371)
36.25 (0.2570093234825808,0.7854962300188405)
36.5 (0.04942810892988439,-0.7284223615522035)
36.75 (-0.1976329450214135,0.7459409479636608)
37 (-0.5067970189215266,-1.029648571195155)
37.25 (1.578316490764981,0.2981939665515371)
37.5 (-1.110474766337897,0.1457638554578245)
37.75 (0.7906114730776894,-0.9040540177062795)
38 (1.097879879793402,-0.6264504248260375)
38.25 (-0.4919876749037242,0.9578815724838599)
38.5 (0.03159587837565276,-0.8282458933572692)
38.75 (-0.6118641669868372,0.1891679749450689)
39 (1.477356210419658,-1.325864923791777)
39.25 (1.097431561701734,0.6900726734792632)
39.5 (-0.9603760815038113,-0.1966569513063293)
39.75 (0.4223112301634416,0.4452261198054323)
40 (-1.519694416913744,-0.2332251800818069)
40.25 (-0.5046041527118815,0.3889281045778852)
40.5 (1.357803496553267,-2.201296638535781)
40.75 (-0.1550935121808047,0.7655789978503726)
41 (0.2889539849006649,-0.9436988873627427)
41.25 (1.135770226523154,1.076341490661242)
41.5 (1.413293488158706,1.515349720616189)
41.75 (-1.346685815087655,0.7648596043020942)
42 (-0.5360710184415218,0.6551781181159054)
