totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
846643.2743851815 -14147.69321432716 -14323.2174169773 437557.0925082429 437557.0925082429 334.5881722422127 0 0 334.5881722422127 -6.206778379787981 340.7949506220007
846666.6905000384 -14140.9111198472 -14306.58339660018 437557.0925082429 437557.0925082429 334.745631478806 0 0 334.745631478806 -6.206778379787981 340.952409858594
846638.4017151247 -14135.81131857055 -14339.97198279058 437557.0925082429 437557.0925082429 339.4601380540292 0 0 339.4601380540292 -6.206778379787981 345.6669164338172
846701.1780983058 -14114.06660882279 -14298.94030935716 437557.0925082429 437557.0925082429 331.8502370086116 0 0 331.8502370086116 -6.206778379787981 338.0570153883996
846711.9679754905 -14127.67550847758 -14274.54153251775 437557.0925082429 437557.0925082429 333.7005428873267 0 0 333.7005428873267 -6.206778379787981 339.9073212671146
846696.5809274856 -14119.13739679451 -14298.46669220567 437557.0925082429 437557.0925082429 302.693990325 0 0 302.693990325 -6.206778379787981 308.9007687047879
846732.037646936 -14087.31107596148 -14294.83629358829 437557.0925082429 437557.0925082429 334.7454461518506 0 0 334.7454461518506 -6.206778379787981 340.9522245316386
846756.4517610947 -14088.2419489005 -14269.49130649066 437557.0925082429 437557.0925082429 339.8812371039986 0 0 339.8812371039986 -6.206778379787981 346.0880154837866
846786.5722858844 -14215.51145054908 -14112.10128005237 437557.0925082429 437557.0925082429 343.1379446103085 0 0 343.1379446103085 -6.206778379787981 349.3447229900964
846781.8712900479 -14065.57040299638 -14266.74332344167 437557.0925082429 437557.0925082429 343.0019736420332 0 0 343.0019736420332 -6.206778379787981 349.2087520218212
846822.2916324791 -14178.58959157869 -14113.30379242804 437557.0925082429 437557.0925082429 343.1154636206446 0 0 343.1154636206446 -6.206778379787981 349.3222420004326
846795.2641204291 -14053.84293100302 -14265.07796505374 437557.0925082429 437557.0925082429 333.7391238439309 0 0 333.7391238439309 -6.206778379787981 339.9459022237189
846859.0630519162 -14158.14665859142 -14096.97530597817 437557.0925082429 437557.0925082429 342.5412879828081 0 0 342.5412879828081 -6.206778379787981 348.7480663625961
846876.8679148995 -14146.61774927773 -14090.69935230868 437557.0925082429 437557.0925082429 342.3301148062547 0 0 342.3301148062547 -6.206778379787981 348.5368931860427
846870.5776666369 -13935.7977897018 -14307.80956014715 437557.0925082429 437557.0925082429 337.6114351526178 0 0 337.6114351526178 -6.206778379787981 343.8182135324058
846914.7111522125 -14106.3379501382 -14093.13591413525 437557.0925082429 437557.0925082429 343.7418496819247 0 0 343.7418496819247 -6.206778379787981 349.9486280617127
846953.8248428302 -14116.72188732645 -14043.63828632923 437557.0925082429 437557.0925082429 345.9695273993055 0 0 345.9695273993055 -6.206778379787981 352.1763057790935
846979.4170099616 -14111.83167915941 -14022.93632736488 437557.0925082429 437557.0925082429 345.7071997152516 0 0 345.7071997152516 -6.206778379787981 351.9139780950396
846959.184079289 -14065.38852811892 -14089.61240907799 437557.0925082429 437557.0925082429 344.1675360913724 0 0 344.1675360913724 -6.206778379787981 350.3743144711604
847019.0714748418 -14095.534779489 -13999.57876215511 437557.0925082429 437557.0925082429 346.8115751174939 0 0 346.8115751174939 -6.206778379787981 353.0183534972819
847048.6917980053 -14094.85661106237 -13970.6366074182 437557.0925082429 437557.0925082429 343.4449656068959 0 0 343.4449656068959 -6.206778379787981 349.6517439866839
847071.5847220386 -14048.69234950639 -13993.90794494093 437557.0925082429 437557.0925082429 245.16531924277 0 0 245.16531924277 -6.206778379787981 251.3720976225579
847109.6144136209 -14029.15230132707 -13975.41830153787 437557.0925082429 437557.0925082429 283.2384247650696 0 0 283.2384247650696 -6.206778379787981 289.4452031448576
847126.7954974957 -14019.86920255711 -13967.52031643311 437557.0925082429 437557.0925082429 283.9650836662328 0 0 283.9650836662328 -6.206778379787981 290.1718620460207
847136.4199229798 -14014.99685532254 -13962.7682381836 437557.0925082429 437557.0925082429 283.7390393509493 0 0 283.7390393509493 -6.206778379787981 289.9458177307372
847265.2426335188 -13944.83786049178 -13904.10452247533 437557.0925082429 437557.0925082429 356.5836871880597 0 0 356.5836871880597 -6.206778379787981 362.7904655678477
847363.0062946326 -13890.53730443274 -13860.64141742051 437557.0925082429 437557.0925082429 356.6510675809954 0 0 356.6510675809954 -6.206778379787981 362.8578459607834
847362.2152677663 -13887.15818334601 -13864.81156537359 437557.0925082429 437557.0925082429 356.4412241961763 0 0 356.4412241961763 -6.206778379787981 362.6480025759643
847366.4865799769 -13880.05457700398 -13867.64385950504 437557.0925082429 437557.0925082429 356.2605320615487 0 0 356.2605320615487 -6.206778379787981 362.4673104413367
847367.2212191508 -13888.39802343798 -13858.56577389701 437557.0925082429 437557.0925082429 356.3095544425735 0 0 356.3095544425735 -6.206778379787981 362.5163328223614
847381.505222008 -13886.91993113161 -13845.7598633463 437557.0925082429 437557.0925082429 356.3589617167409 0 0 356.3589617167409 -6.206778379787981 362.5657400965289
847386.6931836926 -13880.49002913078 -13847.00180366246 437557.0925082429 437557.0925082429 356.0561918032844 0 0 356.0561918032844 -6.206778379787981 362.2629701830724
847391.3282532028 -13886.97712008182 -13835.87964320121 437557.0925082429 437557.0925082429 356.5617537707336 0 0 356.5617537707336 -6.206778379787981 362.7685321505215
847448.1460923078 -13858.41404190016 -13807.62488227802 437557.0925082429 437557.0925082429 356.4466451883403 0 0 356.4466451883403 -6.206778379787981 362.6534235681282
847445.9497624272 -13852.86559557929 -13815.36965847928 437557.0925082429 437557.0925082429 356.8117389202627 0 0 356.8117389202627 -6.206778379787981 363.0185173000507
847459.2766231544 -13830.11698622529 -13824.79140710618 437557.0925082429 437557.0925082429 357.0479702603578 0 0 357.0479702603578 -6.206778379787981 363.2547486401457
847463.3065593191 -13832.71134394214 -13818.16711322456 437557.0925082429 437557.0925082429 357.0796710963327 0 0 357.0796710963327 -6.206778379787981 363.2864494761207
847477.3763859383 -13829.69032136759 -13807.11830918003 437557.0925082429 437557.0925082429 356.9593647505549 0 0 356.9593647505549 -6.206778379787981 363.1661431303429
847476.8545503352 -13830.00836024214 -13807.32210590851 437557.0925082429 437557.0925082429 356.9463529847469 0 0 356.9463529847469 -6.206778379787981 363.1531313645348
847482.5129466484 -13830.29096440492 -13801.38110543253 437557.0925082429 437557.0925082429 356.9796972382433 0 0 356.9796972382433 -6.206778379787981 363.1864756180313
847485.3346566332 -13836.72909108284 -13792.12126876981 437557.0925082429 437557.0925082429 356.9529346569645 0 0 356.9529346569645 -6.206778379787981 363.1597130367525
847491.8360251004 -13814.80744753238 -13807.54154385302 437557.0925082429 437557.0925082429 356.4064572574655 0 0 356.4064572574655 -6.206778379787981 362.6132356372535
847496.8097536563 -13813.4278991126 -13803.94736371699 437557.0925082429 437557.0925082429 356.4221807391665 0 0 356.4221807391665 -6.206778379787981 362.6289591189545
847502.612389177 -13814.35314426108 -13797.21948304779 437557.0925082429 437557.0925082429 356.1861516673872 0 0 356.1861516673872 -6.206778379787981 362.3929300471751
847501.0221937194 -13802.1417886346 -13811.02103413182 437557.0925082429 437557.0925082429 355.9559396426745 0 0 355.9559396426745 -6.206778379787981 362.1627180224625
847502.3092304869 -13804.78855367807 -13807.08723232096 437557.0925082429 437557.0925082429 356.2169999294211 0 0 356.2169999294211 -6.206778379787981 362.4237783092091
847507.866981114 -13796.7032819565 -13809.61475341535 437557.0925082429 437557.0925082429 356.4021276736726 0 0 356.4021276736726 -6.206778379787981 362.6089060534606
847507.4713179304 -13799.48111634737 -13807.2325822081 437557.0925082429 437557.0925082429 356.4830826378036 0 0 356.4830826378036 -6.206778379787981 362.6898610175916
847517.3776527033 -13796.35886830493 -13800.44849547767 437557.0925082429 437557.0925082429 356.4830826378036 0 0 356.4830826378036 -6.206778379787981 362.6898610175916
847521.1856525379 -13808.90082247627 -13784.09854147177 437557.0925082429 437557.0925082429 356.2075191393538 0 0 356.2075191393538 -6.206778379787981 362.4142975191418
847522.6148536779 -13810.12454670486 -13781.44561610306 437557.0925082429 437557.0925082429 356.0075643491628 0 0 356.0075643491628 -6.206778379787981 362.2143427289508
847521.6604351399 -13821.62087219327 -13770.90370915276 437557.0925082429 437557.0925082429 356.4647828223672 0 0 356.4647828223672 -6.206778379787981 362.6715612021552
847527.7826009789 -13808.38085244677 -13778.02156306027 437557.0925082429 437557.0925082429 356.0899079751717 0 0 356.0899079751717 -6.206778379787981 362.2966863549597
