domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (1.096829831730044,1.272924693196503)
20.25 (-1.972646916841871,-0.4721658621060294)
20.5 (-0.5879935698361209,0.02357956945711766)
20.75 (-0.0341575716531687,0.6515788036691156)
21 (0.1067408354089565,-2.262233721985952)
21.25 (-1.120021534319777,-1.012128243129697)
21.5 (2.673398720973819,0.7448505762105916)
21.75 (0.7689668306494314,0.7878056986144403)
22 (-0.9213552389599571,-1.683334216454302)
22.25 (1.176280436440898,2.442107546642831)
22.5 (0.8155901235408178,1.829162892906586)
22.75 (-0.1510493262425035,1.237894922793803)
23 (-2.02144119244613,-0.4003071013958046)
23.25 (0.3316300418692353,-0.5765730250653163)
23.5 (0.03398747208340417,-2.651566270290215)
23.75 (-0.2033353588046014,-1.12783470355594)
24 (3.76929691730871,-0.8619544836899434)
24.25 (-0.05759209177312481,2.568553098743666)
24.5 (-0.2057657910109998,1.969840942321516)
24.75 (-1.16570328953429,-1.490886503832366)
25 (-1.701754158545953,-0.003171601538964291)
25.25 (1.186706770489993,-0.9514496788514269)
25.5 (1.520720925035389,0.3513246806989602)
25.75 (-0.8425512885445862,1.564967623112355)
26 (-1.733381822852518,2.957163095475629)
26.25 (0.4869567871026804,-0.1081028591711867)
26.5 (-2.060719946598497,-0.9816903339823364)
26.75 (-0.3246209576584001,-1.834864603413939)
27 (0.02416865958531629,-1.731768975033526)
27.25 (1.635610409416013,-0.6462060851812628)
27.5 (0.5509512616563079,1.362469709633935)
27.75 (-1.060571107528712,0.2441363201320537)
28 (1.578011359560883,0.5489846265654275)
28.25 (-0.7776218801079589,1.150583543677355)
28.5 (-1.773501995584618,-0.2995681960672627)
28.75 (-0.6489096820706974,-1.54721316785982)
29 (1.431731118805086,-1.552623899273229)
29.25 (1.117923255497416,1.192204626660265)
29.5 (-0.5257204160557064,-0.6734899403927783)
29.75 (-0.6768171504133389,1.893438864130581)
30 (0.04987000342910658,-0.2212779900034735)
30.25 (-1.59715913111463,-1.404014910533106)
30.5 (1.751956417862792,1.711415187903344)
30.75 (-1.915878094543852,-0.4970425137530677)
31 (0.06624532900964308,-0.7141794465234033)
31.25 (-0.3140666299455221,0.8608396671536702)
31.5 (-0.3022920495338738,-3.352436257099873)
31.75 (0.2845348090935662,-1.366971905535787)
32 (-0.3761677285691911,1.258297239430461)
32.25 (1.824015300668697,-1.324750699128901)
32.5 (-1.24924811626582,-0.0734166757787945)
32.75 (0.8360038356894393,1.097378709885783)
33 (3.155605029274819,-2.239159915837933)
33.25 (0.9547331989135008,2.662852969672143)
33.5 (-4.018196140813637,2.232097757035203)
33.75 (0.9086800153715329,0.7644558673257404)
34 (-1.087529582059085,-1.347930619176361)
34.25 (-1.388174670044001,-0.3295106116989657)
34.5 (0.4408293181526791,1.367613045484733)
34.75 (-0.5678962084611699,-0.1561737631731888)
35 (-0.2664306459734117,-2.073090953389336)
35.25 (-1.404188267253508,-0.293403990043278)
35.5 (0.231719001200152,-1.083019936880738)
35.75 (1.970361036727029,0.4108393188623862)
36 (1.572480365299758,-1.514213338254773)
36.25 (-0.4731951594616361,-1.835567854883035)
36.5 (1.769973509818212,0.9559592450077394)
36.75 (1.577969994188237,1.841718607215932)
37 (-0.7313124085857152,0.4402443889278171)
37.25 (-0.8690233107420936,-0.8682453349448821)
37.5 (-0.8084589403634319,1.913543665970667)
37.75 (1.154491364788986,1.346238240599005)
38 (-1.014288205602828,0.9260041994460138)
38.25 (-0.6413660910782948,-1.588088612521277)
38.5 (-2.944846824008014,0.573744618160218)
38.75 (0.2890408739289992,-3.282334674336977)
39 (1.40637993861018,-2.423576078892332)
39.25 (2.413086512061453,-1.134007403800199)
39.5 (-0.4551250396472563,0.9032332954116404)
39.75 (1.001070371782921,-0.9038884040324882)
40 (0.7364426506649904,2.740402549545814)
40.25 (-0.9375323681010216,0.5289852246199965)
40.5 (-0.4849937279908592,-2.123524840114142)
40.75 (0.5939780310548686,1.438959144967958)
41 (1.773707370153417,-0.8012095220258607)
41.25 (-1.261141999221007,0.5129817342095554)
41.5 (1.262626567749597,-0.7667461605185906)
41.75 (-0.07681025599611924,1.375552082738008)
42 (-1.156242014379151,-0.02473596317447463)
42.25 (-1.117026566838268,-1.453550444384117)
