domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 8
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.125)
support bounds (Hz): [20, 1024)support indexes: [160, 8192)
---------------
domainValue measuredValue
0 (0,0)
0.125 (0,0)
0.25 (0,0)
0.375 (0,0)
0.5 (0,0)
0.625 (0,0)
0.75 (0,0)
0.875 (0,0)
1 (0,0)
1.125 (0,0)
1.25 (0,0)
1.375 (0,0)
1.5 (0,0)
1.625 (0,0)
1.75 (0,0)
1.875 (0,0)
2 (0,0)
2.125 (0,0)
2.25 (0,0)
2.375 (0,0)
2.5 (0,0)
2.625 (0,0)
2.75 (0,0)
2.875 (0,0)
3 (0,0)
3.125 (0,0)
3.25 (0,0)
3.375 (0,0)
3.5 (0,0)
3.625 (0,0)
3.75 (0,0)
3.875 (0,0)
4 (0,0)
4.125 (0,0)
4.25 (0,0)
4.375 (0,0)
4.5 (0,0)
4.625 (0,0)
4.75 (0,0)
4.875 (0,0)
5 (0,0)
5.125 (0,0)
5.25 (0,0)
5.375 (0,0)
5.5 (0,0)
5.625 (0,0)
5.75 (0,0)
5.875 (0,0)
6 (0,0)
6.125 (0,0)
6.25 (0,0)
6.375 (0,0)
6.5 (0,0)
6.625 (0,0)
6.75 (0,0)
6.875 (0,0)
7 (0,0)
7.125 (0,0)
7.25 (0,0)
7.375 (0,0)
7.5 (0,0)
7.625 (0,0)
7.75 (0,0)
7.875 (0,0)
8 (0,0)
8.125 (0,0)
8.25 (0,0)
8.375 (0,0)
8.5 (0,0)
8.625 (0,0)
8.75 (0,0)
8.875 (0,0)
9 (0,0)
9.125 (0,0)
9.25 (0,0)
9.375 (0,0)
9.5 (0,0)
9.625 (0,0)
9.75 (0,0)
9.875 (0,0)
10 (0,0)
10.125 (0,0)
10.25 (0,0)
10.375 (0,0)
10.5 (0,0)
10.625 (0,0)
10.75 (0,0)
10.875 (0,0)
11 (0,0)
11.125 (0,0)
11.25 (0,0)
11.375 (0,0)
11.5 (0,0)
11.625 (0,0)
11.75 (0,0)
11.875 (0,0)
12 (0,0)
12.125 (0,0)
12.25 (0,0)
12.375 (0,0)
12.5 (0,0)
12.625 (0,0)
12.75 (0,0)
12.875 (0,0)
13 (0,0)
13.125 (0,0)
13.25 (0,0)
13.375 (0,0)
13.5 (0,0)
13.625 (0,0)
13.75 (0,0)
13.875 (0,0)
14 (0,0)
14.125 (0,0)
14.25 (0,0)
14.375 (0,0)
14.5 (0,0)
14.625 (0,0)
14.75 (0,0)
14.875 (0,0)
15 (0,0)
15.125 (0,0)
15.25 (0,0)
15.375 (0,0)
15.5 (0,0)
15.625 (0,0)
15.75 (0,0)
15.875 (0,0)
16 (0,0)
16.125 (0,0)
16.25 (0,0)
16.375 (0,0)
16.5 (0,0)
16.625 (0,0)
16.75 (0,0)
16.875 (0,0)
17 (0,0)
17.125 (0,0)
17.25 (0,0)
17.375 (0,0)
17.5 (0,0)
17.625 (0,0)
17.75 (0,0)
17.875 (0,0)
18 (0,0)
18.125 (0,0)
18.25 (0,0)
18.375 (0,0)
18.5 (0,0)
18.625 (0,0)
18.75 (0,0)
18.875 (0,0)
19 (0,0)
19.125 (0,0)
19.25 (0,0)
19.375 (0,0)
19.5 (0,0)
19.625 (0,0)
19.75 (0,0)
19.875 (0,0)
20 (-1.726051592590907,-1.228907617199559)
20.125 (2.518132253399076,0.9980532178407635)
20.25 (-1.746709668099309,-0.5186531642293172)
20.375 (-0.6407787938782462,0.4816679362747511)
20.5 (2.505869578326069,-0.7391441664489666)
20.625 (-2.946644917730149,0.9332099236202759)
20.75 (1.549028228682506,-0.6590479532565147)
20.875 (0.07268191830149766,0.05745006357472789)
21 (-1.421670674997021,1.79355722947251)
21.125 (0.6528639281159654,-2.17282571398223)
21.25 (-2.092299652014085,1.70289184511076)
21.375 (3.235843944981629,-0.8423722043768433)
21.5 (-2.851909076112707,0.05135808054029061)
21.625 (1.230478382479334,0.9911966029064284)
21.75 (0.001598050030930415,-1.946133864409324)
21.875 (-0.9625389472768291,1.852964892356095)
22 (1.441336496876671,-0.4790464211347835)
22.125 (-1.634241841731502,-1.329108266703065)
22.25 (1.399319417143542,2.280275751184277)
22.375 (-0.4849389196783899,-1.166014980116401)
22.5 (-1.153171575983408,-0.367883055569262)
22.625 (2.03619666954639,1.125398844130804)
22.75 (-1.867395027790673,-1.603222565731202)
22.875 (0.7440077799933535,2.00358708655298)
23 (0.9385208740141484,-1.246577239387858)
23.125 (-1.6043751802258,-0.4794920490908249)
23.25 (-0.472689685793109,4.136069952816707)
23.375 (1.821079593308576,-0.7304875988536373)
23.5 (-0.8752001648080894,-0.02908483731147016)
23.625 (0.3407166570280882,-0.8722657929557888)
23.75 (-1.099201083559484,1.638802425159663)
23.875 (2.11512401216734,-1.104207612783209)
24 (-1.841314554774031,-0.1196102464008889)
24.125 (0.8912902869786804,0.2928609503571104)
24.25 (-0.7972286917154289,0.7928668230060392)
24.375 (1.878510758488735,-1.077497036785364)
24.5 (-1.295108152856681,-0.9772616692983427)
24.625 (-1.86672385604193,0.6602316798584015)
24.75 (2.258888569880052,0.4652047722501728)
24.875 (-1.148955245462881,-1.357531106116364)
25 (-1.905769267127562,0.9410481363265039)
25.125 (2.502571570874136,0.3690836465132313)
25.25 (-0.2825735269049091,-0.08828131666232573)
25.375 (-1.156934713888164,-0.6461435243361904)
25.5 (0.006603527226727013,0.03439767813482408)
25.625 (1.385489019616271,1.278563701782384)
25.75 (-0.957000549397786,-1.914559713476019)
25.875 (-0.4769564564838424,2.112758234732937)
26 (1.12494287701116,-1.872408307251063)
26.125 (0.1517378377498926,1.295690196990271)
26.25 (-1.728681272376489,-0.8144722649513502)
26.375 (1.373525924736689,0.9401950957694408)
26.5 (0.4928401337250468,-1.505926585257601)
26.625 (-1.652708416842377,1.716090890080136)
26.75 (0.6851133816093528,-1.050183737874059)
26.875 (1.294413848854264,0.3500308585350494)
27 (-2.007692841320329,-0.359038125098309)
27.125 (-0.2328565633074773,0.2860608018935361)
27.25 (1.376447959174627,0.6689643749315781)
27.375 (-0.6970586527882228,-1.705358437375961)
27.5 (-0.4793016919063525,1.665421196557244)
27.625 (1.239818727452697,-0.6692377276356699)
27.75 (-1.4080404727928,-0.73858607236615)
27.875 (1.115699764203257,1.244445346887878)
28 (-0.4610057064982278,-0.1254330482526509)
28.125 (-0.09359439985139467,-1.683100315269988)
28.25 (-0.1350667715230039,2.309906722130108)
28.375 (0.7980470950512475,-1.501091438235306)
28.5 (-1.001104797836573,-0.2044324036459871)
28.625 (0.498370022467044,0.6751659090775204)
28.75 (-0.3970388653310809,0.3665347851215697)
28.875 (0.8858194236299393,-0.493105590397407)
29 (-1.067172980946581,-0.9498456127534749)
29.125 (0.6701547739587711,2.483273838918588)
29.25 (-0.07836256667557431,-2.291470899464255)
29.375 (-0.1202364874469293,0.8756559947335192)
29.5 (0.06186888711069061,1.143978351120756)
29.625 (0.05398452806539988,-1.492926350789579)
29.75 (-1.0052039202928,1.270766801019739)
29.875 (2.578241995478692,-0.941120494303558)
30 (-2.490970045641474,-0.4936213272170206)
30.125 (-0.04613785705442073,1.342128929037363)
30.25 (1.491818966001258,-0.6844344668254014)
30.375 (-2.06858193933005,-0.2992524175731452)
30.5 (2.118941612089359,-0.327944576093311)
30.625 (-1.681291700125026,2.015472424305401)
30.75 (1.122074244617741,-1.836013611455658)
30.875 (0.2342706520525442,-0.01379578382285387)
31 (-1.659308010471594,1.284305253808359)
31.125 (1.375381753968876,0.02516250752826939)
31.25 (-0.2210987721534248,-1.74401627270621)
31.375 (-0.3854505150282158,2.447537178769231)
31.5 (0.05271107544919347,-1.976203365098092)
31.625 (0.1863141958370331,1.727395948427081)
31.75 (0.5975194857092184,-3.535820847628716)
31.875 (-0.6139484403247109,3.772165648715399)
32 (-0.3484367682180066,-2.17567094646057)
32.125 (0.3841570117820632,0.8029839472515591)
32.25 (1.257053631735319,0.2865205543119925)
32.375 (-1.01697551604524,-1.249014760426545)
32.5 (-0.0682256675784931,1.878945714204824)
32.625 (1.1892421419888,-1.901226824676229)
32.75 (-1.42261437016349,0.4647402243746976)
32.875 (1.006801160213261,1.39673679433749)
33 (-1.400270186954905,-2.781577496439586)
33.125 (1.914382189566931,2.50460552049517)
33.25 (-1.087891042597069,-2.097406767762452)
33.375 (-1.05263586027412,1.060272547219939)
33.5 (2.366492913908666,-0.1082817261359796)
33.625 (-2.262873758455679,-0.1351504742481949)
33.75 (0.2740168381280839,-0.3203230590737255)
33.875 (1.778573990787584,0.3206962795835249)
34 (-1.6185843404475,1.753566316161015)
34.125 (-1.460919759229341,-1.302239888773179)
34.25 (1.444018425785295,-0.4802662408057801)
34.375 (-0.3840370153992556,1.843617064312874)
34.5 (0.4681853646670299,-1.364587642012236)
34.625 (-1.773298992156618,-0.1562817752370212)
34.75 (2.120458189901269,0.9818902548263884)
34.875 (-0.8103273134071084,-1.182671411030356)
35 (-0.9725337755068106,1.103698830158583)
35.125 (0.9672296741109851,-0.8883991323077255)
35.25 (0.8427162359399472,0.1634071058411846)
35.375 (-1.000894738753252,0.516035746759921)
35.5 (-1.379238880132141,-0.1437752786876129)
35.625 (2.945741077806216,-0.7046506503491439)
35.75 (-1.439115887193341,0.843312062582681)
35.875 (-1.382736638036755,-0.4194916980304076)
36 (3.93783295176685,0.3645571645879204)
36.125 (-3.707583643510707,-0.4474588990461591)
36.25 (4.202786080199026,-0.3813620889109949)
36.375 (-3.229535546783335,1.158369834610153)
36.5 (0.8877136231956966,-0.884072592241629)
36.625 (0.4289050522843472,0.4982188116157272)
36.75 (0.5275408353604595,-1.067186123895417)
36.875 (-1.626241025257378,1.680494825890537)
37 (0.7144646533565183,-0.8063749672115733)
37.125 (0.960265115359486,-0.9799097912351711)
37.25 (-1.077268548660183,1.768013592441139)
37.375 (-0.02538290359165494,-1.684177206391803)
37.5 (1.146920076920473,0.9305383169778934)
37.625 (-0.8832170487988901,-0.3068393234247886)
37.75 (-0.3551899788524449,-0.1004158444613241)
37.875 (0.4468245829748776,-0.03797074537206262)
38 (0.2115212631777419,1.188513002536695)
38.125 (-0.05237567358726748,-2.283050088195188)
38.25 (-0.7192865232805362,1.699620595164881)
38.375 (1.303449252164461,0.377361348468633)
38.5 (-1.054250586807305,-2.412294077013462)
38.625 (0.07329088004177824,1.639479722884725)
38.75 (0.8101841669267006,0.2898154227735327)
38.875 (-1.360261573432478,-0.4211559102983803)
39 (1.480489365572169,-1.236649843127105)
39.125 (-1.056911743461623,2.656883370808786)
39.25 (-0.5794554645852154,-3.649017631980264)
39.375 (1.739166244207793,2.93334500303907)
39.5 (-1.718716621901378,-2.873336901161826)
39.625 (0.8448353932432177,2.074562635690141)
39.75 (0.7613006341931621,0.09546777932619113)
39.875 (-1.007558141548907,-1.096489080095363)
40 (-0.5763030874812535,0.4415974606422304)
40.125 (1.331323041649035,-0.387824457299755)
40.25 (-0.44534105260663,1.242715516717196)
40.375 (-1.09063268467171,-1.903813781599612)
40.5 (1.818567252146539,0.8225725901027853)
40.625 (0.2531918712880627,0.99485260031834)
40.75 (-2.259623666561715,-0.4775306208959738)
40.875 (1.85297559690918,-1.402024032680793)
41 (-0.104177369840605,1.910432020312479)
41.125 (-0.8848090843288904,-0.8140753408225641)
41.25 (1.076236221227166,-0.9344084432732086)
41.375 (-1.504731204965347,1.280055796666587)
41.5 (2.631131396107961,-1.168170273675662)
41.625 (-2.966219906982916,0.5168167607272632)
41.75 (2.001448356925468,0.8018332978549424)
41.875 (-1.012787997111567,-1.815565958239568)
42 (0.745438345254108,1.140473445610201)
42.125 (-1.039063073249014,0.4866653361153915)
42.25 (0.9876767331356888,-0.520689254180877)
42.375 (-0.3909700311132525,-1.314561763431162)
42.5 (-0.1156957302091325,2.38410724643547)
42.625 (0.5173973004983884,-1.458830523698092)
42.75 (-1.132341315798313,-0.7498545516840049)
42.875 (1.458030449302488,2.178893232859344)
43 (-0.7549507844740514,-2.562726910132403)
43.125 (-0.6100717134444011,2.179580524363219)
43.25 (1.209228522215003,-1.009543478546303)
