# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-1.095653169451468734e-03 2.605490998855430895e-04 8.594478290360751949e-04 1.509170407457516294e-03 2.517827261426325292e-03
-1.169210509703144663e-03 1.388935099790877814e-04 7.229849743775051962e-04 1.338422049759951937e-03 2.341400726813602784e-03
-1.204678460641039894e-03 1.457986055122817426e-05 5.748728218014642621e-04 1.154423270100318755e-03 2.161439985987778645e-03
-1.288890524971442186e-03 -1.334655058823353002e-04 4.276215008138795071e-04 9.712284252725855715e-04 1.949382504981722608e-03
-1.379673326383765164e-03 -2.834839830778423941e-04 2.742747684293389554e-04 7.941217864141647542e-04 1.726169836168002514e-03
-1.483655527613453318e-03 -4.236930882826617228e-04 1.104761361719885926e-04 6.352518154353337110e-04 1.509794922567891939e-03
-1.568224139779250681e-03 -5.622774119540263627e-04 -4.338444756127324275e-05 4.645464872675558743e-04 1.301910014615853539e-03
-1.666591320148208544e-03 -7.111447046531660376e-04 -2.077746609402131295e-04 3.114048232649158088e-04 1.126803289444582024e-03
-1.790270957897452386e-03 -8.691039218926832621e-04 -3.622040359684830513e-04 1.553825659526830716e-04 9.500183138037021635e-04
-1.909498537492851367e-03 -1.025919532040758808e-03 -5.174618786273899040e-04 -2.593854367988202014e-06 7.864678256266910417e-04
-2.073063821318776867e-03 -1.176029063517200490e-03 -6.585520200227540366e-04 -1.637434669022608258e-04 6.310092198515138140e-04
-2.177217300061914940e-03 -1.326219475214329702e-03 -7.873682706848739166e-04 -3.120443625911073493e-04 4.667225722370937913e-04
-2.286797828893211149e-03 -1.480049880714484623e-03 -9.147118943333837349e-04 -4.499953048907497088e-04 3.267790666701825275e-04
-2.426229429802667648e-03 -1.639619915379364468e-03 -1.043588257528038632e-03 -5.767020854494930848e-04 1.983952885989681558e-04
-2.585977058347399549e-03 -1.794024735497466716e-03 -1.166768093793013605e-03 -6.850001863408644587e-04 8.813479650893185635e-05
-2.748665952223505737e-03 -1.945990363873578710e-03 -1.290300988193548992e-03 -7.802412366550715017e-04 -2.929524968275920571e-05
-2.941844447924363282e-03 -2.084651156703448693e-03 -1.406811753512815510e-03 -8.771571096654329214e-04 -1.391520518849165278e-04
-3.130217800329015976e-03 -2.206644588631942461e-03 -1.508574984738386693e-03 -9.743571773347670106e-04 -2.512817395979027868e-04
-3.305612326090459629e-03 -2.297714942083389777e-03 -1.607150157777278987e-03 -1.057942366194775108e-03 -3.453706896998920417e-04
-3.461721100580891775e-03 -2.376440629565934604e-03 -1.703223684502458424e-03 -1.146096272314822695e-03 -4.253759191447450960e-04
-3.589057173301352099e-03 -2.461046059763480343e-03 -1.785532126152025723e-03 -1.229161157668134940e-03 -4.991703793192359129e-04
-3.675133401016883461e-03 -2.555418974977227697e-03 -1.860986694138443143e-03 -1.301040021761346033e-03 -5.647113111215962267e-04
-3.788217733465618076e-03 -2.643371200803490417e-03 -1.917033778987720094e-03 -1.349330652568592193e-03 -6.049315511078012797e-04
-3.897488632875284464e-03 -2.725631761211752546e-03 -1.978237832446910760e-03 -1.397553706216109193e-03 -6.406740888395684452e-04
-4.008873245460897738e-03 -2.791949661009929251e-03 -2.041831473908517491e-03 -1.438879966654038611e-03 -6.566598493664005387e-04
-4.108695467748363361e-03 -2.845812907217207255e-03 -2.084605531594549421e-03 -1.486116003211433723e-03 -6.631194710480237120e-04
-4.198039334759082197e-03 -2.897904889480440449e-03 -2.122161018024759649e-03 -1.504279155803700530e-03 -6.541231772146938184e-04
-4.260832045391352990e-03 -2.922400319882695330e-03 -2.143979101530746334e-03 -1.516758648134566845e-03 -6.354331403404800405e-04
-4.304342299593325039e-03 -2.939207836666818396e-03 -2.156239207790122681e-03 -1.531332236071908381e-03 -6.105209090256913385e-04
-4.334733491677081330e-03 -2.962029175948177606e-03 -2.169444373047134389e-03 -1.535004223651936783e-03 -5.534846195408837932e-04
-4.336669602216999819e-03 -2.969704609714352017e-03 -2.172151012886175403e-03 -1.538432005674918168e-03 -5.254200612255510716e-04
-4.330911422560174140e-03 -2.975927622288432328e-03 -2.153070164561760036e-03 -1.522211887293845045e-03 -4.773793369497181249e-04
-4.292786600486320214e-03 -2.972693221245437112e-03 -2.123748918170249855e-03 -1.487411680342914932e-03 -4.295100777326754660e-04
-4.241370313503210754e-03 -2.950598704613449641e-03 -2.084806070396905131e-03 -1.444038971054772968e-03 -3.473833056054503876e-04
-4.175967931231774899e-03 -2.925030308037174231e-03 -2.044832427674586617e-03 -1.382692667612844817e-03 -2.597173009643155561e-04
-4.105238582798959035e-03 -2.889730533684090052e-03 -1.996243596059474323e-03 -1.323997370138010887e-03 -1.674958998702860691e-04
-4.010660963773157728e-03 -2.840712825437567701e-03 -1.940834453109448188e-03 -1.253484139450103396e-03 -8.328347919954459666e-05
-3.896055132566807189e-03 -2.776222929190566568e-03 -1.883348501096379635e-03 -1.174638473857292364e-03 2.171381241627273750e-05
-3.772105550570392651e-03 -2.716366662297575729e-03 -1.816434816967416044e-03 -1.090796765405924185e-03 1.130280263825361731e-04
-3.620354429792277395e-03 -2.626389724256550373e-03 -1.733658476039720564e-03 -1.013262775673651195e-03 1.841019342356808863e-04
-3.467908491123994352e-03 -2.518708778641992607e-03 -1.639354019044136912e-03 -9.211765334827259899e-04 2.609539720670531193e-04
-3.342730031977061977e-03 -2.383313688009307263e-03 -1.534096371014662119e-03 -8.254181470347954352e-04 3.183563963140845221e-04
-3.201036794790196316e-03 -2.238884597269980015e-03 -1.428115754502481960e-03 -7.363316037806988401e-04 4.370180811709700741e-04
-3.036952693895242361e-03 -2.095921442233472654e-03 -1.313346445718566180e-03 -6.454429783642745555e-04 6.278397427856019508e-04
-2.886166385152141856e-03 -1.936587142599491274e-03 -1.194119389518286112e-03 -5.502419887199461179e-04 7.778132491471356769e-04
-2.767300939311295727e-03 -1.772327793000849638e-03 -1.068148485591724484e-03 -4.423212659596387208e-04 8.922790166349114926e-04
-2.605585864562914855e-03 -1.608643114483554459e-03 -9.345172539929474942e-04 -3.292984737556792219e-04 1.034434420216098771e-03
